Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,cluster_label,AgeGroup
0.0,0.0,0.1111111111111111,0.6875,1.0,0.0,0.0,0.7857142857142857,0.7878787878787878,0.2903225806451613,0.2,0.0,0.0,0.0,1.0,1.0,1.0,0.018867924528301886,0.0,0.0,0.3076923076923077,0.17777777777777778,0.3076923076923077,0.8282781456953642,0.0,0.0,0.34782608695652173,0.24242424242424243,0.4,0.8418173076923076,0.0,0.20930232558139544,0.0,0.12417437252311751,Graduate,2,Child
0.0,0.0,0.4444444444444444,0.625,1.0,0.0,0.0,0.0,0.8181818181818182,0.16129032258064516,0.13333333333333333,1.0,0.0,0.0,1.0,0.0,1.0,0.018867924528301886,0.0,0.0,0.23076923076923078,0.15555555555555556,0.23076923076923078,0.6508987701040682,0.0,0.0,0.2608695652173913,0.18181818181818182,0.3,0.6461538461538461,0.0,0.15116279069767452,0.48888888888888893,1.0,Graduate,2,Child
0.0,0.0,0.1111111111111111,0.6875,1.0,0.0,0.0,0.7857142857142857,0.7878787878787878,0.2903225806451613,0.15555555555555556,1.0,0.0,0.0,1.0,0.0,1.0,0.05660377358490566,0.0,0.0,0.3076923076923077,0.17777777777777778,0.2692307692307692,0.7320340586565752,0.0,0.0,0.34782608695652173,0.24242424242424243,0.35,0.7439999999999999,0.0,0.3720930232558141,0.48888888888888893,0.7661822985468957,Graduate,2,Child
0.0,0.0,0.1111111111111111,0.6875,1.0,0.0,0.0,0.42857142857142855,0.8181818181818182,0.2903225806451613,0.2,1.0,0.0,0.0,1.0,0.0,1.0,0.018867924528301886,0.0,0.0,0.3076923076923077,0.17777777777777778,0.2692307692307692,0.7000946073793756,0.0,0.0,0.34782608695652173,0.24242424242424243,0.35,0.7115384615384615,0.0,0.5930232558139534,1.0,0.3117569352708058,Graduate,2,Child
0.0,0.4117647058823529,0.2222222222222222,0.25,1.0,0.0,0.0,0.07142857142857142,0.0,0.06451612903225806,0.08888888888888889,1.0,0.0,0.0,1.0,1.0,0.0,0.018867924528301886,0.0,0.0,0.23076923076923078,0.13333333333333333,0.23076923076923078,0.6887417218543046,0.0,0.0,0.2608695652173913,0.24242424242424243,0.05,0.5384615384615384,0.0,0.3720930232558141,0.48888888888888893,0.7661822985468957,Enrolled,3,Child
0.0,0.0,0.4444444444444444,0.6875,1.0,0.0,0.0,0.42857142857142855,0.8181818181818182,0.12903225806451613,0.17777777777777778,1.0,0.0,0.0,1.0,0.0,1.0,0.07547169811320754,0.0,0.0,0.2692307692307692,0.15555555555555556,0.23076923076923078,0.7434878587196467,0.0,0.0,0.30434782608695654,0.21212121212121213,0.3,0.7556410256410255,0.0,0.0,0.7555555555555556,0.5785997357992074,Graduate,2,Child
0.0,0.4117647058823529,0.2222222222222222,0.6875,1.0,0.0,0.0,0.0,0.8181818181818182,0.16129032258064516,0.17777777777777778,1.0,0.0,0.0,1.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.2692307692307692,0.2,0.23076923076923078,0.6561967833491013,0.0,0.0,0.34782608695652173,0.2727272727272727,0.4,0.7406837606837606,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,Graduate,0,Child
0.0,0.6470588235294118,0.1111111111111111,0.3125,1.0,0.0,0.0,0.42857142857142855,0.3939393939393939,0.12903225806451613,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.1320754716981132,0.0,0.05,0.23076923076923078,0.24444444444444444,0.19230769230769232,0.6887417218543046,0.0,0.05263157894736842,0.2608695652173913,0.36363636363636365,0.05,0.6461538461538461,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,Dropout,1,Child
0.2,0.6470588235294118,0.1111111111111111,0.1875,1.0,0.0,0.0,0.75,0.7878787878787878,0.2903225806451613,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.49056603773584906,0.0,0.0,0.23076923076923078,0.2222222222222222,0.15384615384615385,0.6490066225165563,0.0,0.0,0.2608695652173913,0.3939393939393939,0.2,0.5653846153846154,0.0,0.15116279069767452,0.48888888888888893,1.0,Dropout,1,Child
0.2,0.0,0.1111111111111111,1.0,0.0,0.0625,0.0,0.75,0.7878787878787878,0.1935483870967742,0.06666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.2641509433962264,0.0,0.2,0.38461538461538464,0.35555555555555557,0.19230769230769232,0.6039735099337749,0.0,0.21052631578947367,0.43478260869565216,0.30303030303030304,0.3,0.691025641025641,0.0,0.20930232558139544,0.0,0.12417437252311751,Dropout,1,Child
